,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Site_10,Site_11,Site_12,Site_13,Site_14,Site_15,Site_16,Site_17,Site_18,Site_19,Site_20,Site_21,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28,Site_29,Site_30,Site_31,Site_32,Site_33,Site_34,Site_35,Site_36,Site_37,Site_38,Site_39,Site_40,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48
2018-10-31,1344.26,1123.0000000000002,1041.4600000000003,1235.1899999999996,1201.5999999999995,7410.800000000001,634.9999999999998,795.6,1133.7,572.6,1217.4200000000005,1311.8,718.1,1178.1000000000004,1337.5,589.1999999999998,633.5,1174.9,749.1999999999998,547.7000000000002,670.6,634.6000000000001,719.5999999999998,530.4999999999999,1068.0700000000004,1144.9,126920.0,312200.0,17803.7,4077.6000000000013,11425.000000000002,6970.2,9607.899999999998,6113.799999999997,1696.5300000000002,945.2000000000003,1611.6899999999996,4783.200000000002,1032.67,80100.0,68344.20000000001,266.0,1811.92,2822.089999999999,2346.8499999999995,2590.51,2708.1600000000008,1014.03
2018-11-01,1416.36,1302.1,1130.7999999999995,1422.04,1347.9,7611.999999999997,930.6999999999997,1073.9,1266.5999999999995,878.4,1376.5899999999995,1435.7,984.0,1246.8,1465.9,972.1,972.5,1254.0,1180.0,846.1999999999997,1088.1,975.8,990.8999999999997,810.0000000000003,1137.37,1226.7,115730.0,270150.0,17459.300000000007,4208.3,12029.3,6239.799999999998,9592.5,6415.200000000003,1730.28,995.01,1422.2200000000007,5064.4,1037.3200000000004,80990.0,67484.59999999999,284.0,1904.02,2870.9000000000005,2228.47,2705.730000000001,2865.240000000001,1038.64
2018-11-02,1292.9899999999998,1116.3000000000004,1041.63,1250.1499999999996,1130.8000000000004,7386.700000000002,579.3000000000002,681.5000000000001,1129.7000000000005,560.7,1203.74,1246.3000000000004,927.1,1103.1,1214.0000000000002,623.6000000000001,625.4999999999999,1092.0,662.4,536.8999999999999,634.0999999999998,609.1,607.3999999999999,556.3000000000002,1068.22,1167.4,115150.0,308530.0,17034.5,3886.799999999999,7326.499999999999,6637.800000000001,8638.8,6335.0,1871.3,864.77,1023.67,4304.2,942.14,78250.0,68332.79999999997,229.0,2143.5899999999992,3030.320000000001,2563.17,2800.87,2930.3100000000004,1079.14
2018-11-03,1166.6000000000004,948.5,905.11,1070.17,951.7,6464.6,464.30000000000007,546.0999999999998,948.0000000000003,465.9,1031.29,1050.4,635.6000000000001,998.4999999999997,1023.7999999999997,505.2,481.99999999999983,948.6,555.4999999999999,447.89999999999986,532.5000000000001,566.2,483.2,496.8,920.61,979.9,56180.0,304730.0,5894.0999999999985,1941.8,2473.3,2924.1,6437.3,2086.3,414.99,393.02000000000015,184.41000000000008,2413.4,300.4499999999999,70410.0,64168.9,177.0,1393.1299999999994,1899.1200000000006,2411.32,1998.1200000000006,781.6999999999997,255.21
2018-11-04,1050.09,883.8999999999997,832.93,971.0,870.3,6280.499999999997,550.6999999999998,571.1,880.8,454.2000000000001,938.09,987.7999999999997,638.1999999999998,923.8,955.2,523.2,482.3,830.4999999999999,531.1999999999998,396.90000000000015,545.9000000000002,605.4000000000002,491.3,498.29999999999984,932.1799999999997,889.3000000000003,37680.0,272530.0,9063.8,1938.7,3212.2000000000007,2874.8,6652.5999999999985,3314.9,483.1,396.11,183.64,2377.0,250.82,78720.0,66436.2,116.0,565.4800000000001,1976.78,2337.870000000001,1825.62,757.94,267.19000000000005
2018-11-05,1253.9600000000005,1144.1999999999996,1007.3600000000004,1248.7399999999998,1131.6,7268.799999999997,712.6,759.9,1079.6999999999996,646.4,1186.6,1207.3000000000004,837.9000000000002,1132.1,1180.7999999999995,688.8,740.0999999999998,1080.4999999999998,809.6999999999997,741.1000000000001,800.5,688.4000000000003,737.6999999999998,644.6,1033.2299999999998,1160.6,91280.0,174840.0,18246.1,4554.499999999999,12143.299999999996,6041.400000000002,9058.3,5926.600000000001,1552.61,1088.3799999999997,1224.880000000001,5287.9000000000015,987.37,82670.0,62106.80000000003,230.0,1675.3099999999995,2974.9100000000008,2470.0399999999995,2516.609999999999,2482.05,1048.1299999999997
2018-11-06,1191.7599999999998,1064.3000000000004,994.4199999999997,1210.1499999999996,1042.8,7017.2,670.3,792.3000000000002,1041.5,680.6999999999998,1119.46,1142.6,771.2999999999997,1064.6999999999996,1103.4999999999998,726.1999999999997,780.8,1048.6,824.9,649.9000000000002,727.8999999999997,709.9,693.4999999999999,629.0,987.84,1146.2999999999995,124150.0,110930.0,17955.399999999998,5845.9000000000015,11883.6,7098.4,8608.100000000002,6501.9,584.0000000000001,1141.34,1307.920000000001,6338.200000000002,1250.3600000000004,57140.0,56826.6,278.0,1884.52,3054.680000000001,2543.46,2379.19,705.9000000000003,1045.9799999999998
2018-11-07,1143.52,982.3,963.2899999999997,1125.0499999999997,955.9,6814.699999999999,568.4999999999999,617.9,1040.4999999999998,532.3,1043.63,1077.8000000000004,556.9,1049.2999999999997,1162.5000000000002,568.7000000000003,587.2,1018.2,568.7999999999997,532.9000000000002,596.6999999999998,551.9,564.1,468.1,973.68,1076.1999999999996,124470.0,214030.0,18666.500000000004,6761.900000000002,12374.2,6207.200000000002,9355.600000000004,6496.200000000003,1477.2500000000007,990.1899999999997,1364.5000000000002,7308.400000000002,1015.64,80190.0,66319.79999999999,237.0,1852.67,2814.119999999999,2259.11,2485.42,2666.8,1042.5500000000004
2018-11-08,1188.32,1028.6999999999996,1018.5299999999997,1182.1199999999994,1006.7000000000003,6796.5999999999985,576.6,622.7,1023.9999999999997,532.7,1084.9600000000003,1131.8000000000004,517.5000000000001,1071.9,1220.3999999999996,587.0,573.1999999999998,1068.7,614.0,524.7,632.0000000000001,625.9,585.8,477.60000000000014,1061.0,1129.0,126090.0,247260.0,16617.5,4169.2,12873.4,6044.5999999999985,9395.4,6163.6,1549.5299999999993,940.14,1490.470000000001,4486.4000000000015,1422.1199999999994,82350.0,65663.89999999997,256.0,1525.9699999999998,2658.600000000001,2557.94,2539.86,2772.5099999999993,1052.2400000000002
2018-11-09,1183.62,1027.3,1039.0199999999998,1137.5700000000004,1020.2,6795.200000000002,523.5,553.5,1020.0,468.9,1057.5900000000004,1120.9999999999998,619.9,1051.1,1197.1,499.1,542.1999999999998,1049.1,538.7000000000002,445.3,527.4,490.6,467.7000000000001,486.3000000000001,964.7900000000003,1123.1,121410.0,317020.0,17311.899999999998,4677.700000000002,7555.500000000001,4833.499999999999,8928.800000000001,6012.800000000001,1709.2800000000007,933.19,1408.07,4858.1,876.56,80160.0,69087.6,238.0,1572.7700000000002,2729.7000000000007,2844.220000000001,2502.2200000000007,2675.24,1132.4100000000005
2018-11-10,1159.8299999999995,955.6999999999997,905.3800000000003,1074.0499999999997,958.2999999999997,6644.000000000001,411.5,476.60000000000014,959.5999999999997,375.2,1007.1999999999997,1061.1999999999996,524.7000000000002,970.4000000000003,1032.4,419.4,423.80000000000007,970.9000000000003,436.9,358.4,414.70000000000016,408.0,373.9,450.5,995.3899999999996,1004.4,82240.0,303860.0,5648.800000000002,1968.6,2349.5000000000005,2751.3,5346.0999999999985,2377.7,461.08999999999986,403.85000000000014,180.77,2308.9,155.47,83000.0,68490.7,119.0,893.63,1536.26,2749.610000000001,1897.39,1268.59,993.41
2018-11-11,1255.71,911.6,851.0200000000002,981.07,918.3,6584.499999999997,345.19999999999993,406.69999999999993,880.3999999999999,356.50000000000006,959.3899999999996,1021.2999999999997,572.1999999999998,955.0,997.7,329.80000000000007,363.2000000000001,880.0999999999997,403.00000000000006,271.3,327.49999999999994,356.7,334.49999999999994,340.5,925.77,871.3000000000002,73440.0,291620.0,8810.999999999998,1844.8,3330.9999999999986,2626.5000000000005,4366.1,3244.9,656.0100000000001,386.36000000000007,178.11,2425.3,181.32,77860.0,63535.69999999997,112.0,481.87,1863.1700000000005,2726.4999999999995,1637.84,765.28,942.13
2018-11-12,1341.3199999999995,1145.6999999999996,1070.4499999999996,1271.6600000000005,1183.2000000000005,7606.5999999999985,747.6999999999997,857.3,1174.8,662.6000000000003,1245.9599999999996,1308.7999999999995,869.0,1167.3,1250.7999999999995,766.6999999999997,762.4,1155.4,882.3,665.8000000000002,839.7,753.2,733.9999999999999,637.9999999999999,1014.59,1133.9,98720.0,288970.0,17428.599999999995,3841.4,12611.499999999998,6930.3,9328.3,6015.7,1476.52,927.56,1487.5199999999993,4406.9000000000015,893.76,82310.0,62357.90000000001,274.0,1506.22,2892.05,2875.39,2384.6199999999994,2669.11,1088.9900000000002
2018-11-13,1305.1200000000003,1090.6,1038.7199999999998,1261.01,1112.3000000000004,7353.200000000002,672.5999999999998,744.7999999999997,1155.3,628.6999999999998,1215.54,1266.2000000000005,990.4,1123.5,1190.7999999999995,687.8000000000002,713.9000000000002,1118.6,776.9,613.1999999999998,726.8000000000002,648.5,664.8000000000002,625.8000000000002,1072.9000000000003,1207.7,119590.0,282670.0,17174.9,4039.2,12632.2,6582.0999999999985,9190.500000000002,6177.899999999999,1756.03,932.0899999999997,1407.069999999999,4622.2,1115.86,82560.0,53231.59999999999,314.0,1747.6900000000005,3001.8099999999995,2947.3100000000004,2567.8699999999994,2870.5999999999995,992.84
2018-11-14,1198.9300000000005,1044.5,999.71,1183.84,1054.3,7151.600000000001,610.6,706.1999999999997,1084.9,604.0000000000001,1150.5300000000002,1163.1,605.3000000000002,1075.0,1120.3000000000004,625.0,674.1999999999998,1087.7000000000003,744.3000000000002,621.2,645.4999999999998,602.2,597.9000000000002,687.5,980.38,1118.5,123400.0,253210.0,18293.8,6254.500000000001,11238.5,5811.799999999998,9631.9,6088.999999999999,1901.19,926.02,1348.8100000000004,6781.599999999998,1008.03,71210.0,70788.29999999999,273.0,1700.85,2930.9500000000007,2925.3099999999995,2573.99,2886.4499999999994,1030.59
2018-11-15,1227.4500000000005,1089.5000000000002,1039.0,1226.9700000000005,1065.3,7116.299999999998,566.5,595.2000000000003,1098.6999999999996,494.09999999999985,1161.66,1200.2999999999995,599.4000000000002,1088.6000000000004,1167.5000000000002,584.6999999999998,556.4000000000002,1100.0000000000002,585.3,381.8000000000001,567.9,554.3,523.1,500.50000000000017,987.46,1137.1,96650.0,258020.0,17535.5,5109.1,11856.000000000002,6349.8,9166.7,6298.5999999999985,1395.55,960.51,1404.2100000000007,5803.7,1082.9,82090.0,65237.29999999999,240.0,1643.99,2641.899999999999,2563.780000000001,2366.3699999999994,2965.4300000000007,1045.5400000000004
2018-11-16,1195.6499999999996,1027.1,993.19,1181.0900000000004,1029.7,6803.799999999998,503.89999999999986,565.9999999999999,1072.8999999999996,521.2,1111.34,1184.5999999999995,571.5000000000001,1049.6,1161.9,547.8,542.9,1043.7,538.9000000000002,453.1,527.6999999999998,489.4,476.8,448.9,962.15,1096.1000000000004,76470.0,261220.0,18472.000000000004,5445.300000000001,7487.100000000002,6073.899999999999,9083.6,5742.899999999998,1233.32,902.6300000000003,1438.8499999999995,5773.300000000001,933.42,81810.0,70419.29999999999,230.0,1585.9200000000005,2575.0499999999993,2184.63,2266.7000000000007,2669.5599999999995,1095.1
2018-11-17,1143.03,958.5,923.86,1076.8199999999997,935.6,6536.299999999998,393.19999999999993,453.3,951.3,435.40000000000015,987.16,1078.2,493.0,972.6999999999997,1020.2,408.0,406.50000000000017,960.6,454.50000000000017,345.7,425.40000000000015,399.9,404.1,477.10000000000014,851.9,979.6,65380.0,260540.0,9895.999999999998,2580.099999999999,2606.4999999999986,2507.0,5247.3,1871.0000000000007,394.09,374.64,187.51,3087.4,175.20000000000005,81330.0,67695.29999999999,114.0,920.47,1594.0800000000006,2300.01,1748.93,1893.5,247.52000000000004
